year	title	author	director	theatre	ratings	comments
1	Julius Caesar	William Shakespeare	Michael Kevin	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
1	Major Barbara	Bernard Shaw	Jerry Turner	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
1	Other People's Money	Jerry Sterner	Henry Woronicz	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)9(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)Our first show!  What a way to begin! (-)(-)
1	Our Town	Thornton Wilder	James Edmondson	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
1	Some Americans Abroad	Richard Nelson	Jeff Steitzer	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
1	The First Part of Henry VI	William Shakespeare	Pat Patton	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
1	The Merchant of Venice	William Shakespeare	Libby Appel	Bowmer	-1(-)10(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)10(-)-1(-)-1	"(-)Cool caskets coming out the floor. Very appealing Portia.  And of course, an incredible performance by Shylock.(-)(-)(-)(-)(-)(-)(-)(-)(-)The benchmark. (-)(-)"
1	The Taming of the Shrew	William Shakespeare	Sandy McCallum	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
1	Two Rooms	Lee Blessing	Kirk Boyd	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
1	Woman in Mind	Alan Ayckbourn	Cynthia White	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	All's Well That Ends Well	William Shakespeare	Henry Woronicz	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	As You Like It	William Shakespeare	James Edmondson	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	Heathen Valley	Romulus Linney	Kirk Boyd	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	La Bête	David Hirson	Henry Woronicz	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	Othello	William Shakespeare	Jerry Turner	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
